title1,title2,address1,address2,ngram_similarity,shingle_similarity,combined_similarity
Comeback ,Maxine's ,1308 Drury Lane ,243 Camac,1.0,0.0,0.25
Comeback ,Midway ,1308 Drury Lane ,256 S. 12th St. ,1.0,0.0,0.25
Comeback ,Mystique ,1308 Drury Lane ,1418 Spruce ,1.0,0.0,0.25
Comeback ,Rusty's,1308 Drury Lane ,Quince & Walnut,1.0,0.0,0.25
Comeback ,Allegro ,1308 Drury Lane ,1412 Spruce ,1.0,0.0,0.25
Comeback ,Allegro ,1308 Drury Lane ,1412 Spruce ,1.0,0.0,0.25
Comeback ,Attic ,1308 Drury Lane ,5710 Germantown ,1.0,0.0,0.25
Comeback ,Attic ,1308 Drury Lane ,5710 Germantown,1.0,0.0,0.25
Comeback ,Buddy's,1308 Drury Lane ,13th & Commerce,1.0,0.0,0.25
Comeback ,Dewey's,1308 Drury Lane ,17th & Chancellor,1.0,0.0,0.25
Comeback ,Deweys,1308 Drury Lane ,Chancelor at 17th St.,1.0,0.0,0.25
Comeback ,Maxine's ,1308 Drury Lane ,243 Camac ,1.0,0.0,0.25
Comeback ,Maxine's ,1308 Drury Lane ,243 Camac ,1.0,0.0,0.25
Comeback ,Midway ,1308 Drury Lane ,256 S. 12th St. ,1.0,0.0,0.25
Comeback ,Midway ,1308 Drury Lane ,256 S. 12th St. ,1.0,0.0,0.25
Comeback ,Mystique,1308 Drury Lane ,1418 Spruce ,1.0,0.0,0.25
Comeback ,Mystique ,1308 Drury Lane ,1418 Spruce ,1.0,0.0,0.25
Comeback ,USAA ,1308 Drury Lane ,204 S. Quine ,1.0,0.0,0.25
Frank's ,Maxines ,347 S. 13th ,243 Camac,1.0,0.0,0.25
Frank's ,Midway,347 S. 13th ,256 S. 12th St. ,1.0,0.0,0.25
Frank's ,Rusty's,347 S. 13th ,Quince & Walnut,1.0,0.0,0.25
Frank's ,Two-Forty-Seven ,347 S. 13th ,247 17th St. ,1.0,0.0,0.25
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,1.0,0.0,0.25
Frank's ,Attic ,347 S. 13th ,5710 Germantown ,1.0,0.0,0.25
Frank's ,Maxine's ,347 S. 13th ,243 Camac,1.0,0.0,0.25
Frank's ,Midway ,347 S. 13th ,256 S. 12th St. ,1.0,0.0,0.25
Frank's ,Mystique ,347 S. 13th ,1418 Spruce ,1.0,0.0,0.25
Frank's ,Rusty's,347 S. 13th ,Quince & Walnut,1.0,0.0,0.25
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,1.0,0.0,0.25
Frank's ,Allegro ,347 S. 13th ,1412 Spruce ,1.0,0.0,0.25
Frank's ,Attic ,347 S. 13th ,5710 Germantown ,1.0,0.0,0.25
Frank's ,Attic ,347 S. 13th ,5710 Germantown,1.0,0.0,0.25
Frank's ,Buddy's,347 S. 13th ,13th & Commerce,1.0,0.0,0.25
Frank's ,Dewey's,347 S. 13th ,17th & Chancellor,1.0,0.0,0.25
Frank's ,Deweys,347 S. 13th ,Chancelor at 17th St.,1.0,0.0,0.25
Frank's ,Maxine's ,347 S. 13th ,243 Camac ,1.0,0.0,0.25
Frank's ,Maxine's ,347 S. 13th ,243 Camac ,1.0,0.0,0.25
Frank's ,Midway ,347 S. 13th ,256 S. 12th St. ,1.0,0.0,0.25
Frank's ,Midway ,347 S. 13th ,256 S. 12th St. ,1.0,0.0,0.25
Frank's ,Mystique,347 S. 13th ,1418 Spruce ,1.0,0.0,0.25
Frank's ,Mystique ,347 S. 13th ,1418 Spruce ,1.0,0.0,0.25
Frank's ,USAA ,347 S. 13th ,204 S. Quine ,1.0,0.0,0.25
Maxines ,Midway,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxines ,Rusty's,243 Camac,Quince & Walnut,1.0,0.0,0.25
Maxines ,Two-Forty-Seven ,243 Camac,247 17th St. ,1.0,0.0,0.25
Maxines ,Allegro ,243 Camac,1412 Spruce ,1.0,0.0,0.25
Maxines ,Attic ,243 Camac,5710 Germantown ,1.0,0.0,0.25
Maxines ,Midway ,243 Camac,256 S. 12th St. ,1.0,0.0,0.25
Maxines ,Mystique ,243 Camac,1418 Spruce ,1.0,0.0,0.25
Maxines ,Rusty's,243 Camac,Quince & Walnut,1.0,0.0,0.25
Maxines ,Allegro ,243 Camac,1412 Spruce ,1.0,0.0,0.25
